Topic,Count,Name,Representation,Representative_Docs,PrettyName
-1,4,-1_archaeoastronomy india einsteins_india einsteins machian_archaeoastronomy india_einsteins machian program,"['archaeoastronomy india einsteins', 'india einsteins machian', 'archaeoastronomy india', 'einsteins machian program', 'einsteins machian', 'india einsteins', 'bioconjugation reaction', 'bioconjugation reaction review', 'important statistique', 'autre new nanoparticle']","['growing realizing topologically nontrivial states matter band insulators quantum hall effect appear intrinsic property band structure going progress way number directions possibility realizing novel interaction generated topological phases requirement nontrivial invariant encoded single particle wavefunction band structure significantly extend class topological materials great importance interaction driven topological phase emerging extended bose hubbard model kagome lattice non interacting band structure topological trivial zero berry curvature brillouin zone means unbiased state art density matrix renormalization group technique identify groundstate broad parameter region equivalent bosonic fractional quantum hall laughlin state based characterization universal properties including groundstate degeneracy edge excitations anyonic quasiparticle statistics work paves way finding interaction induced topological phase phase boundary conventionally ordered solid phases', 'spin orbit torque magnetic domain walls investigated solving pauli schr dinger equation itinerant electrons rashba interaction considered derived violation inversion symmetry interfaces ferromagnets heavy metals equilibrium rashba spin orbit interaction gives rise torque corresponding dzyaloshinskii moriya interaction current flowing spin orbit torque experienced itinerant electrons short domain walls field like damping like components domain wall width increased damping like component counterpart non adiabatic spin transfer torque decreases rapidly domain wall center contrast non adiabatic spin transfer torque damping like spin orbit torque does approach zero far away domain wall center adiabatic limit scattering spin spin wave functions caused rashba spin orbit interaction spatial variation magnetization profile domain wall gives rise finite damping like spin orbit torque', 'investigate holes levels square lattice mott insulator strong spin orbit coupling exact diagonalization spin orbital model valid strong onsite interactions arbitrary spin orbit coupling crystal field complemented effective triplon model valid strong spin orbit coupling semiclassical variant model provide magnetic phase diagram depending crystal field spin orbit coupling largely agrees semiclassical quantum models excitation spectra characterizing various phases']",outliers
0,15177,0_twisted bilayer graphene_bilayer graphene_graphene bilayer_bilayer graphene tbg,"['twisted bilayer graphene', 'bilayer graphene', 'graphene bilayer', 'bilayer graphene tbg', 'electronic graphene', 'graphene layers', 'layer graphene', 'graphene layer', 'multilayer graphene', 'graphene graphene']","['use angle resolved photoemission spectroscopy investigate electronic structure bilayer graphene high doping extreme displacement fields created intercalating epitaxial monolayer graphene silicon carbide magnesium form quasi freestanding bilayer graphene magnesium terminated silicon carbide angle resolved photoemission spectroscopy reveals magnesium intercalation single massless dirac band epitaxial monolayer graphene transformed characteristic massive double band dirac spectrum quasi freestanding bilayer graphene analysis spectrum using simple tight binding model indicates magnesium intercalation results type doping times creates extremely high displacement field opening considerable gap dirac point confirmed density functional theory calculations quasi freestanding bilayer graphene magnesium terminated silicon carbide similar doping level displacement field bandgap finally magnesium intercalated samples surprisingly robust ambient conditions significant changes electronic structure observed minutes exposure air', 'twisted bilayer graphene tbg extraordinary electronic properties magic angle isolated flat band magic angle non hermitian phenomena twisted bilayer graphene remain unexplored work study non hermitian tbg formed layer graphene twisted relative layer gain loss using non hermitian generalization bistritzer macdonald model dirac cones centered corner moir brillouin zone valley deform rings exceptional points presence non hermiticity different single layer graphene gain loss exceptional rings appear corners brillouin zone exceptional rings protected non hermitian chiral symmetry interestingly exceptional magic angle larger hermitian magic angle exceptional rings coincide form non hermitian flat bands zero energy finite lifetime non hermitian flat bands moir isolated dispersive bands distinguished non hermitian frustrated lattices addition non hermitian flat band topological charge conserved moir brillouin zone allowed analogs non hermitian fractional quantum hall states', 'consider twisted bilayer trilayer graphene presence rashba spin orbit coupling explore physics moir spintronics electronic charge density sharp step right magic angles theta result local spin observables polarization equilibrium spin currents sharp peaks width small fraction circ function twist angle theta abrupt sign reversals theta magic angle determined unprecedented accuracy chiral limit spin currents vanish peculiar pattern polarization theta persists major differences result spintronics twisted bilayer graphene magic angles compared spintronics single twisted bilayer graphene addition numerous spectacular physical phenomena reported twisted bilayer graphene magic angles new phenomena occur twistronic spintronics']",twisted bilayer graphene / bilayer graphene / graphene bilayer
1,9735,1_solar wind_solar flares_solar corona_geomagnetic storms,"['solar wind', 'solar flares', 'solar corona', 'geomagnetic storms', 'solar energetic', 'solar activity', 'solar atmosphere', 'plasma turbulence', 'interplanetary magnetic field', 'solar orbiter']","['variety kinetic waves develop solar wind relationship waves larger scale structures current sheets ongoing turbulence remain topic investigation similarly instabilities producing ion acoustic waves solar wind remains open question goals paper investigate kinetic electrostatic langmuir ion acoustic waves solar wind determine current sheets associated streaming instabilities produce observed waves relationship waves currents investigated statistically solar orbiter radio plasma waves instrument suite provides high resolution snapshots fluctuating electric field low frequency receiver resolves waveforms ion acoustic waves time domain sampler resolves waveforms ion acoustic langmuir waves using waveform data determine waves observed relation current structures solar wind estimated background magnetic field langmuir ion acoustic waves frequently observed solar wind ion acoustic waves observed time waves likely observed regions enhanced currents waves typically occur current structures observed currents solar wind small drive instability relative drift single ion electron populations multi component ion electron distributions present observed currents sufficient instability ion beams plausible source ion acoustic waves spacecraft potential confirmed reliable probe background electron density comparing peak frequencies langmuir waves plasma frequency calculated spacecraft potential', 'role solar wind expansion generating whistler waves investigated using ipic code models solar wind expansion self consistently fully kinetic semi implicit approach simulation initialized electron velocity distribution function modeled parker solar probe observations perihelion consisting dense core anti sunward strahl distribution function initially stable respect kinetic instabilities expansion drives solar wind successive regimes whistler heat flux instabilities triggered instabilities produce sunward whistler waves initially characterized predominantly oblique propagation respect interplanetary magnetic field excited waves interact electrons resonant scattering processes consequence strahl pitch angle distribution broadens drift velocity reduces strahl electrons scattered direction perpendicular magnetic field electron halo formed later stage resonant electron firehose instability triggered affects electron temperature anisotropy solar wind expands wave particle interaction processes accompanied substantial reduction solar wind heat flux simulated whistler waves qualitative agreement observations terms wave frequencies amplitudes propagation angles work proposes explanation observations oblique parallel whistler waves solar wind conclude solar wind expansion factored trying explain kinetic processes different heliocentric distances', 'geomagnetic storm result sustained interaction solar wind southward magnetic field magnetosphere investigate influence various solar wind parameters intensity major geomagnetic storm major geomagnetic storms occurred used calculate correlation coefficients ccs intensities major geomagnetic storms time integrals southward interplanetary magnetic field solar wind electric field injection function main phase associated geomagnetic storms sym min used indicate intensity associated major geomagnetic storm used indicate time integrals main phase associated major geomagnetic storm respectively derived sym min sym min sym min results provide statistical evidence solar wind dynamic pressure solar wind density plays significant role transferring solar wind energy magnetosphere addition southward magnetic field solar wind speed solar wind strong geoeffectiveness requires solar wind dynamic pressure npa solar wind density npa large long duration ensure major geomagnetic storm especially solar wind dynamic pressure low large long duration condition necessary condition trigger major geomagnetic storm']",solar wind / solar flares / solar corona
2,6856,2_semiconductor quantum dot_quantum dot spin_quantum dot_single quantum dot,"['semiconductor quantum dot', 'quantum dot spin', 'quantum dot', 'single quantum dot', 'semiconductor quantum dots', 'double quantum dot', 'gaas quantum dots', 'quantum dots qds', 'quantum dots', 'triple quantum dot']","['demonstrate photonic crystal nanocavity laser essentially driven self assembled inas gaas single quantum dot gain investigated nanocavities contain quantum dots average ultra low density quantum dot sample used single quantum dot isolated surrounding quantum dots laser oscillation begins pump power resonant condition far detuning conditions require lasing spectral detuning dependence laser threshold indicates substantial contribution single quantum dot total gain photon correlation measurements distinct transition anti bunching poissonian bunching increase excitation power evidence laser oscillation single quantum dot', 'self assembled epitaxially grown inas gaas quantum dots promising semiconductor quantum emitters integrated chip variety photonic quantum information science applications self assembled growth results essentially random plane spatial distribution quantum dots presenting challenge creating devices exploit strong interaction single quantum dots highly confined optical modes present photoluminescence imaging approach locating single quantum dots respect alignment features average position uncertainty using solid immersion lens represents enabling technology creation optimized single quantum dot devices end create quantum dot single photon sources based circular bragg grating geometry simultaneously exhibit high collection efficiency numerical aperture lens close theoretically predicted value low multiphoton probability significant purcell enhancement factor', 'study decoherence electron spin qubit quantum dot charge noise lowest order pure dephasing channel suppressed charge noise johnson noise charge noise leads pure relaxation channel decoherence weaker magnetic field dependence spin relaxation rate charge noise dominate phonon noise low magnetic fields gate defined gaas quantum dot inas self assembled quantum dot furthermore large inas self assembled quantum dot spin relaxation rate phonon noise suppressed high magnetic field spin relaxation charge noise dominate low high magnetic field numerically tesla field spin relaxation time typical charge noise gaas gate defined quantum dot mev confinement inas self assembled quantum dot mev confinement']",semiconductor quantum dot / quantum dot spin / quantum dot
3,6770,3_electronic structure calculations_exchange correlation functionals_correlation energies_exchange correlation functional,"['electronic structure calculations', 'exchange correlation functionals', 'correlation energies', 'exchange correlation functional', 'density functional approximations', 'electron correlation', 'exchange correlation energy', 'correlation functionals', 'structure calculations', 'correlation energy']","['ensemble density functional theory edft suffers called ghost interaction error approximate exchange correlation functionals used work present rigorous ghost interaction correction gic scheme context range separated edft method relies exact decomposition ensemble short range exchange correlation energy multideterminantal exact exchange term involves long range interacting ensemble density matrix instead kohn sham complementary density functional correlation energy generalized adiabatic connection formula derived order perform practical calculations complementary correlation functional simply modeled ground state local density approximation lda long range interacting ground excited state wavefunctions obtained self consistently combining long range configuration interaction calculation short range lda potential gic reduces curvature approximate range separated ensemble energies drastically providing considerably accurate excitation energies charge transfer double excitations interestingly method performs context standard edft recovered range separation parameter set zero', 'recently developed finite element approach fully numerical atomic structure calculations lehtola int quantum chem extended description atoms spherically symmetric densities fractionally occupied orbitals specialized versions hartree fock local density generalized gradient approximation density functionals developed allowing extremely rapid calculations basis set limit ground low lying excited states heavy atoms implementation range separation based yukawa complementary error function erfc kernels described allowing complete basis set benchmarks modern range separated hybrid functionals integer fractional occupation numbers finally computation atomic effective potentials local density generalized gradient approximation levels superposition atomic potentials sap approach lehtola chem theory comput shown simple efficient way initialize electronic structure calculations described present numerical approach shown afford microhartree accuracy small number numerical basis functions reproduce literature results ground states atoms cations leq leq results indicate literature values deviate complete basis set limit numerical scheme erfc kernel shown work comparison results large gaussian basis set calculations literature spin restricted ground states reported hartree fock hartree fock slater calculations fractional occupations leq leq', 'random phase approximation rpa electron correlation energy combined exact exchange energy represents state art exchange correlation functional density functional theory dft standard rpa practice evaluating exact exchange rpa correlation energy using local semilocal kohn sham orbitals leads systematic underbinding molecules solids demonstrate behavior largely corrected adding single excitation contribution far included standard rpa scheme similar improvement achieved replacing non self consistent exact exchange total energy corresponding self consistent hartree fock total energy retaining rpa correlation energy evaluated using kohn sham orbitals schemes achieve chemical accuracy standard benchmark set non covalent intermolecular interactions']",electronic structure calculations / exchange correlation functionals / correlation energies
4,4800,4_transition metal dichalcogenides_transition metal dichalcogenide_metal dichalcogenides tmds_metal dichalcogenides,"['transition metal dichalcogenides', 'transition metal dichalcogenide', 'metal dichalcogenides tmds', 'metal dichalcogenides', 'metal dichalcogenides tmdcs', 'metal dichalcogenide monolayers', 'metal dichalcogenide tmd', 'metal dichalcogenide', 'dichalcogenide monolayers', 'dichalcogenides tmds']","['electronic optical properties monolayer transition metal dichalcogenides tmds van der waals heterostructures strongly subject dielectric environment layer field lines coulomb interaction screened adjacent material reduces single particle band gap exciton trion binding energies combining electrostatic model dielectric hetero multi layered environment semiconductor particle methods demonstrate electronic optical properties sensitive interlayer distances atomic scale spectroscopical measurements combination direct solution particle schr odinger equation reveal trion binding energies correctly predict recently measured interlayer distances', 'dimensional materials including transition metal dichalcogenides attractive variety applications electronics photonics recently envisioned appealing platform phonon polaritonics direct characterization terahertz spectral region retrieving phonon response represents major challenge limited sensitivity typical terahertz spectroscopic tools weak interaction long wavelength radiation sub nanometer systems work exploiting hoc engineered metallic surface enabling thousand fold local absorption boost perform enhanced terahertz spectroscopy monolayer transition metal dichalcogenide tungsten diselenide extract dipole active phonon resonance features addition use data obtain monolayer effective permittivity phonon resonance direct terahertz characterization phonon response dimensional systems method opens path rational design phonon polariton devices exploiting monolayer transition metal dichalcogenides', 'electron valleys transition metal dichalcogenide monolayers drive novel physics allow designing multifunctional architectures applications propose manipulate electron valleys systems spin valley filter valve devices band engineering instead magnetic proximity effect extensively used previous studies strategy electron valleys directly coupled spin polarized states dimensional ferromagnets coupling results valley selective gap opening spin momentum locking transition metal dichalcogenide monolayers physics gives rise variety unexpected electronic properties phenomena including halfmetallicity electrically switchable valley polarization spin valley filter valve effects transition metal dichalcogenide monolayers demonstrate idea mote cocl cocl mote cocl van der waals heterojunctions based principles calculations study provides way engineering electron valleys transition metal dichalcogenide monolayers new concept devices']",transition metal dichalcogenides / transition metal dichalcogenide / metal dichalcogenides tmds
5,4478,5_grain boundaries_grain boundary_grain boundaries gbs_alloying elements,"['grain boundaries', 'grain boundary', 'grain boundaries gbs', 'alloying elements', 'grain size', 'binary alloys', 'alloys heas', 'entropy alloy', 'grain growth', 'high entropy alloys']","['investigate ability multi order parameter phase field model obstacle potentials grain boundary premelting equilibrium situations agreement energetic picture transition dry wet grain boundaries bulk melting point given threshold sigma sigma sigma solid melt interfacial energy sigma energy dry grain boundary predictions premelting confirmed simulations using phase field package openphase prediction kinetics melting grain boundaries pure materials taking account short ranged interactions responsible grain boundary premelting sharp interface theory developed confirms overheated grain boundaries melting velocity reduced increased non wetting wetting grain boundaries numerical steady state predictions agreement fully analytical solution subset parameter space phase field simulations confirm predictions sharp interface theory', 'paper investigates statistical behavior dimensional grain microstructures grain growth anisotropic grain boundary characters employ threshold dynamics method allows unparalleled computational speed simulate field curvature motion grain boundaries large polycrystal ensemble sets numerical experiments performed explore effect grain boundary anisotropy evolution microstructure features experiment focus abnormal grain growth grain boundary anisotropy introduces statistical preference certain grain orientations leads changes overall grain size distribution isotropic case second experiment examine texture development growth twin grain boundaries different initial microstructures phenomena pronounced initial microstructure dominant fraction high angle grain boundaries results suggest effective grain boundary engineering strategies improving material properties', 'paper present continuum model compute energy low angle grain boundaries given degrees freedom arbitrary rotation axis rotation angle boundary plane orientation based continuum dislocation structure continuum model minimize grain boundary energy associated dislocation structure subject constraint frank formula dislocations possible burgers vectors constrained minimization problem solved penalty method turned unconstrained minimization problem grain boundary dislocation structure approximated network straight dislocations predicts energy dislocation densities grain boundaries grain boundary energy based calculated dislocation structure able incorporate anisotropic nature use continuum model systematically study energy low angle grain boundaries fcc boundary plane orientation possible burgers vectors comparisons results atomistic simulations continuum model able excellent predictions energy dislocation densities low angle grain boundaries study energy low angle grain boundaries fcc varying rotation axis rest degrees freedom fixed minor modifications model apply dislocation structures energy heterogeneous interfaces']",grain boundaries / grain boundary / grain boundaries gbs
6,5045,6_learning interatomic potentials_machine learning interatomic_computational chemistry_learning interatomic,"['learning interatomic potentials', 'machine learning interatomic', 'computational chemistry', 'learning interatomic', 'computational materials', 'materials discovery', 'atomistic simulations', 'materials science', 'crystal structure prediction', 'machine learning potentials']","['traditional trial error methods designing amorphous alloys costly inefficient machine learning approaches based solely composition lack critical atomic structural information machine learning interatomic potentials trained data principles calculations offer powerful alternative efficiently approximating complex dimensional potential energy surface near dft accuracy work develop general purpose machine learning interatomic potential amorphous alloys using dataset comprising configurations representative binary ternary amorphous alloys systems model demonstrates excellent predictive performance independent test set mean absolute error mev atom energy mev forces extensive validation model shown reliably capture trends macroscopic property variations density young modulus glass transition temperature original training systems compositionally modified systems derived directly applied composition property mapping amorphous alloys furthermore developed interatomic potential enables access atomic structures amorphous alloys allowing microscopic analysis interpretation experimental results particularly deviating empirical trends work breaks long standing computational bottleneck amorphous alloys research developing general purpose machine learning interatomic potential amorphous alloy systems resulting framework provides robust foundation data driven design high throughput composition screening field previously constrained traditional simulation limitations', 'recent years machine learning techniques shown great potential various problems multitude disciplines including materials design drug discovery high computational speed hand accuracy comparable dft hand make machine learning algorithms efficient high throughput screening chemical configurational space machine learning algorithms available literature require large training datasets reach chemical accuracy large errors called outliers sample molecules represented training set present paper propose new machine learning algorithm predicting molecular properties addresses issues based local model interatomic interactions providing high accuracy trained relatively small training sets active learning algorithm optimally choosing training set significantly reduces errors outliers compare model state art algorithms literature widely used benchmark tests', 'accelerate process materials design materials science increasingly used data driven techniques extract information collected data specially machine learning algorithms span discipline demonstrated ability predict various properties materials level accuracy similar explicit calculation quantum mechanical theories significantly reduced run time computational resources graph neural networks emerged important algorithm field machine learning capable predicting accurately wide range important physical chemical electronic properties higher learning ability based graph representation material molecular descriptors aggregation information embedded graph parallel development state art classical machine learning applications fusion quantum computing machine learning created new paradigm classical machine learning model augmented quantum layers able encode high dimensional data efficiently leveraging structure existing algorithms developed unique novel gradient free hybrid quantum classical convoluted graph neural network hyqcgnn predict formation energies perovskite materials performance hybrid statistical model competitive results obtained purely classical convoluted graph neural network classical machine learning algorithms xgboost consequently study suggests new pathway explore quantum feature encoding parametric quantum circuits yield drastic improvements complex algorithm like graph neural network']",learning interatomic potentials / machine learning interatomic / computational chemistry
7,4895,7_spin liquid states_spin liquid phases_quantum spin liquid_quantum spin liquids,"['spin liquid states', 'spin liquid phases', 'quantum spin liquid', 'quantum spin liquids', 'spin liquid state', 'spin liquid phase', 'spin liquids', 'spin liquid', 'chiral spin liquid', 'state spin']","['using density matrix renormalization group study spin liquid phases spin xxz kagome antiferromagnets emergence spin liquid phase does depend anisotropy xxz interaction particular extreme limits ising strong interaction zero interaction host spin liquid phases isotropic heisenberg model time reversal invariant spin liquid chiral spin liquid spontaneous time reversal symmetry breaking obtained evolve continuously tuning second neighbor interactions discuss possible implication results nature spin liquid nearest neighbor xxz kagome antiferromagnets including studied nearest neighbor spin kagome anti ferromagnetic heisenberg model', 'quantum spin liquid hosts massive quantum entanglement identification significant problems physics detection known notoriously difficult featureless properties symmetry order parameter demonstrate dynamic signatures quantum spin liquid state investigating kitaev spin model hyper honeycomb lattice quantum spin liquid state stabilized stable thermodynamic phase real time dynamics spin correlation function obtained large scale quantum monte carlo simulation onset characteristic oscillation dynamic local spin correlation entering quantum spin liquid phase results quantum spin liquid characterized sharp growth coherent spin dynamics dynamic order propose dynamic order naturally detect featureless thermal phase transition reported class strongly correlated materials', 'study large generalization heisenberg model square lattice spin model possible quantum spin liquid phases model studied using projective construction spin liquid states large limit include flux state chiral spin state spin liquid states spin liquid states non trivial quantum orders projective symmetry group characterizes quantum order protects stability gapless spin liquids study continuous quantum phase transition flux state chiral spin liquid state flux state spin liquid state phase transitions paradigm landau symmetry breaking theory phase transition symmetry breaking transition contains critical exponents different obtained ginzburg landau theory ising universality class second transition does involve change symmetry symmetry breaking order parameter']",spin liquid states / spin liquid phases / quantum spin liquid
8,3109,8_equilibrium contact_surface tension_phase contact_contact angle hysteresis,"['equilibrium contact', 'surface tension', 'phase contact', 'contact angle hysteresis', 'dynamic contact angle', 'superhydrophobic surfaces', 'superhydrophobic surface', 'equilibrium contact angle', 'droplet surface', 'contact angles']","['arbitrary lagrangian eulerian ale finite element scheme computations soluble surfactant droplet impingement horizontal surface presented numerical scheme solves time dependent navier stokes equations fluid flow scalar convection diffusion equation surfactant transport bulk phase simultaneously surface evolution equations surfactants free surface liquid solid interface effects surfactants flow dynamics included model surfactant dependent surface tension dynamic contact angle particular dynamic contact angle theta droplet defined terms surfactant concentration contact line equilibrium contact angle theta clean surface using nonlinear equation state surface tension surface forces included model surface divergence surface stress tensor allows incorporate marangoni effects calculating surface gradient surfactant concentration free surface addition mesh convergence study validation numerical results experiments effects adsorption desorption surfactant coefficients flow dynamics wetting partially wetting non wetting droplets studied observed effect surfactants wetting droplets non wetting droplets presence surfactants contact line reduces equilibrium contact angle theta circ increases theta greater circ presence surfactants effect contact angle theta circ numerical study clearly demonstrates surfactant dependent contact angle', 'theoretically investigate apparent contact angle contact angle hysteresis droplet placed liquid infused surface apparent contact angle uniquely defined material parameters strong dependence relative size droplet surrounding wetting ridge formed infusing liquid derive closed form expression contact angle limit vanishing wetting ridge compute correction small finite ridge corresponds effective line tension term predict contact angle hysteresis liquid infused surfaces generated pinning contact lines surface corrugations analytical expressions apparent contact angle contact angle hysteresis interpreted weighted sums contact angles infusing liquid relative droplet surrounding gas phases weighting coefficients given ratios fluid surface tensions', 'theoretical analyses moving contact line infinite force solid wall reported based non integrable stress single interface investigation demonstrate stress singularity integrable results finite force moving contact line contact line treated dimensional manifold interfaces make moving contact line taken consideration dipole nature vorticity pressure distribution moving contact line mathematically finite force determined summing forces act infinitesimally small cylindrical control volume encloses entire moving contact line finite force propose new dynamic young equation microscopic dynamic contact angle function known parameters specifically interface velocity surface tension fluid viscosity combine model cox model apparent dynamic contact angle good agreement published dynamic contact angle measurements']",equilibrium contact / surface tension / phase contact
