topic,rank,doc_id,doc_full,title
-1,1,0908.2532v2,"Un probl\`eme important en statistique est la d\'etermination d'une loi de probabilit\'e jointe \`a partir de ses lois marginales. Dans le cas bidimensionnel, les lois de probabilit\'e marginales f1 (x) et f2(y) sont reli\'ees \`a la loi jointe f(x,y) par les int\'egrales suivant les lignes horizontale et verticale (les deux axes x et y). Ainsi, le probl\`eme de la d\'etermination de f(x,y) connaissant f1 (x) et f2(y) est un probl\`eme inverse mal pos\'e. En statistique la notion de copule est introduite pour obtenir une solution \`a ce probl\`eme. Un probl\`eme similaire en tomographie \`a rayon X est la reconstruction d'une image f(x,y) repr\'esentant la r\'epartition de la densit\'e d'une quantit\'e \`a l'int\'erieur de l'objet \`a partir de ses deux projections horizontale et verticale, f1 (x) et f2(y). Il existe aussi un grand nombre de m\'ethodes pour de tels probl\`emes fond\'ees sur la transform\'ee de Radon. Dans cet article, nous montrons les liens entre la notion de copule et celle de la tomographie \`a rayon X et voyons si on peut utiliser les m\'ethodes d'un domaine \`a l'autre.",Utilisation de la notion de copule en tomographie
-1,2,1002.4221v3,This is a new nanoparticle bioconjugation reaction.,Barstar:barnase - A versatile strategy for nanodiamond bioconjugation
-1,3,1002.4513v2,This paper is a review of archaeoastronomy in India.,Archaeoastronomy in India
-1,4,1302.2498v1,The Einsteins Machian Program is here accomplished.,Realization of Einsteins Machian Program
0,1,0503472v2,"The presence of structure-dependent edge states of graphite is revealed by both ambient- and ultra-highvacuum- (UHV) scanning tunneling microscopy (STM) / scanning tunneling spectroscopy (STS) observations. On a hydrogenated zigzag (armchair) edge, bright spots are (are not) observed together with (SQRT(3) by SQRT(3))R30 superlattice near the Fermi level (V_S = &#8722;30 mV for a peak of the local density of states (LDOS)) under UHV, demonstrating that a zigzag edge is responsible for the edge states, although there is no appreciable difference between as-prepared zigzag and armchair edges in air. Even in hydrogenated armchair edge, however, bright spots are observed at defect points, at which partial zigzag edges are created in the armchair edge.",Observation of zigzag and armchair edges of graphite using scanning   tunneling microscopy and spectroscopy
0,2,0503569v2,"Although not an intrinsic superconductor, it has been long--known that, when intercalated with certain dopants, graphite is capable of exhibiting superconductivity. Of the family of graphite--based materials which are known to superconduct, perhaps the most well--studied are the alkali metal--graphite intercalation compounds (GIC) and, of these, the most easily fabricated is the C${}_8$K system which exhibits a transition temperature $\bm{T_c\simeq 0.14} $K. By increasing the alkali metal concentration (through high pressure fabrication techniques), the transition temperature has been shown to increase to as much as $\bm 5 $K in C${}_2$Na. Lately, in an important recent development, Weller \emph{et al.} have shown that, at ambient conditions, the intercalated compounds \cyb and \cca exhibit superconductivity with transition temperatures $\bm{T_c\simeq 6.5} $K and $\bm{11.5} $K respectively, in excess of that presently reported for other graphite--based compounds. We explore the architecture of the states near the Fermi level and identify characteristics of the electronic band structure generic to GICs. As expected, we find that charge transfer from the intercalant atoms to the graphene sheets results in the occupation of the $\bm\pi$--bands. Yet, remarkably, in all those -- and only those -- compounds that superconduct, we find that an interlayer state, which is well separated from the carbon sheets, also becomes occupied. We show that the energy of the interlayer band is controlled by a combination of its occupancy and the separation between the carbon layers.",Electronic structure of superconducting graphite intercalate compounds:   The role of the interlayer state
0,3,0503570v1,"In this letter we report the discovery of superconductivity in the isostructural graphite intercalation compounds C6Yb and C6Ca, with transition temperatures of 6.5K and 11.5K respectively. A structural characterisation of these compounds shows them to be hexagonal layered systems in the same class as other graphite intercalates. If we assume that all the outer s-electrons are transferred from the intercalant to the graphite sheets, then the charge transfer in these compounds is comparable to other superconducting graphite intercalants such as C8K 1,2 . However, the superconducting transition temperatures of C6Yb and C6Ca are up to two orders of magnitude greater. Interestingly, superconducting upper critical field studies and resistivity measurements suggest that these compounds are significantly more isotropic than pure graphite. This is unexpected as the effect of introducing the intercalant is to move the graphite layer further apart.",Superconductivity in the Intercalated Graphite Compounds C6Yb and C6Ca
0,4,0503650v1,"The electronic structure and selected zone-center phonons in Yb graphite intercalation compound (YbC6) are investigated {theoretically} using density functional calculations and LDA+U approximation for Coulomb correlations in the f shell, and experimentally using angle-resolved photoemission. We find that both in LDA and LDA+U approach the Yb f states are fully occupied providing no evidence for mixed-valent behavior. The obtained theoretical results are in good agreement with photoemission experiments. The 4f states are considerably hybridized both with the Yb 5d and C 2p states resulting in a substantial admixture of Yb f at the Fermi level. Soft Yb phonons, given a noticeable presence of the Yb states at the Fermi level, are probably responsible for the superconductivity recently reported in YbC6.",Electrons and Phonons in YbC6
0,5,0504127v1,"Recently deiscovered superconductivity in YbC$_6$ and CaC$_6$ at temperatures substantially higher than previously known for intercalated graphites, raised several new questions: (1) Is the mechanism considerably different from the previously known intercalated graphites? (2) If superconductivity is conventional, what are the relevant phonons? (3) Given extreme similarity between YbC$_6$ and CaCa$_6$, why their critical temperatures are so different? We address these questions on the basis of first-principles calculations and conclude that coupling with intercalant phonons is likely to be the main force for superconductivity in YbC$_6$ and CaC$_6$, but not in alkaline-intercalated compounds, and explain the difference in $T_c$ by the ``isotope effect'' due to the difference in Yb and Ca atomic masses.",Intercalant-Driven Superconductivity in YbC$_{6}$ and CaC$_{6}$
1,1,0501048v2,"The impinging solar wind and its magnetic field perturbed the Earth's magnetosphere and create magnetic storms and substorms. The Earth's magnetosphere expands (contracts) during periods of southward (northward) IMF. It is shown that these magnetospheric expansions and contractions account for poorly understood aspects of magnetic storm-substorm relationship, bifurcation of the magnetotail and the appearance of theta aurora. Quantitative theory and calculations in agreement with the suggested model of solar wind/IMF-magnetosphere coupling are presented. Pre-noon and post-noon dents on the magnetopause are expected to appear during a long period of strong northward IMF. The contracting and expanding magnetosphere accumulates solar wind plasma and its magnetic field. The accumulated energy is delivered into the polar regions and creates auroral activity intensification.",Magnetic Storm-substorm Relationship and Some Associated Issues
