topic,term,weight
0,twisted bilayer graphene,0.7472602128982544
0,bilayer graphene,0.7267434597015381
0,graphene bilayer,0.7195500135421753
0,bilayer graphene tbg,0.6970752477645874
0,electronic graphene,0.6546891927719116
0,graphene layers,0.6533025503158569
0,layer graphene,0.6513890624046326
0,graphene layer,0.6465756893157959
0,multilayer graphene,0.6414607167243958
0,graphene graphene,0.6317429542541504
1,solar wind,0.657747209072113
1,solar flares,0.5354897975921631
1,solar corona,0.5054152607917786
1,geomagnetic storms,0.5013661980628967
1,solar energetic,0.49879059195518494
1,solar activity,0.4935295581817627
1,solar atmosphere,0.47988343238830566
1,plasma turbulence,0.4415256679058075
1,interplanetary magnetic field,0.43772459030151367
1,solar orbiter,0.43212568759918213
2,semiconductor quantum dot,0.7792461514472961
2,quantum dot spin,0.7454763650894165
2,quantum dot,0.7331304550170898
2,single quantum dot,0.7311667799949646
2,semiconductor quantum dots,0.7246512770652771
2,double quantum dot,0.7160932421684265
2,gaas quantum dots,0.7046858072280884
2,quantum dots qds,0.6984057426452637
2,quantum dots,0.6826370358467102
2,triple quantum dot,0.6712167263031006
3,electronic structure calculations,0.5396779775619507
3,exchange correlation functionals,0.49145254492759705
3,correlation energies,0.4880867004394531
3,exchange correlation functional,0.4599859416484833
3,density functional approximations,0.44006580114364624
3,electron correlation,0.4340488910675049
3,exchange correlation energy,0.43152469396591187
3,correlation functionals,0.42967694997787476
3,structure calculations,0.42565280199050903
3,correlation energy,0.4240827262401581
4,transition metal dichalcogenides,0.7221307754516602
4,transition metal dichalcogenide,0.7187589406967163
4,metal dichalcogenides tmds,0.6610040664672852
4,metal dichalcogenides,0.6506006717681885
4,metal dichalcogenides tmdcs,0.6342400312423706
4,metal dichalcogenide monolayers,0.6250537633895874
4,metal dichalcogenide tmd,0.611253023147583
4,metal dichalcogenide,0.603339433670044
4,dichalcogenide monolayers,0.5565851926803589
4,dichalcogenides tmds,0.5249966979026794
5,grain boundaries,0.6432850956916809
5,grain boundary,0.6308174729347229
5,grain boundaries gbs,0.5889057517051697
5,alloying elements,0.5177316069602966
5,grain size,0.5127078890800476
5,binary alloys,0.48763763904571533
5,alloys heas,0.4653957486152649
5,entropy alloy,0.45309460163116455
5,grain growth,0.44868046045303345
5,high entropy alloys,0.44746655225753784
6,learning interatomic potentials,0.6000886559486389
6,machine learning interatomic,0.5777090787887573
6,computational chemistry,0.5623727440834045
6,learning interatomic,0.5581436157226562
6,computational materials,0.5246834754943848
6,materials discovery,0.5113655924797058
6,atomistic simulations,0.48864781856536865
6,materials science,0.48583734035491943
6,crystal structure prediction,0.47570955753326416
6,machine learning potentials,0.4584183692932129
7,spin liquid states,0.7815169095993042
7,spin liquid phases,0.7750494480133057
7,quantum spin liquid,0.7682482004165649
7,quantum spin liquids,0.7654997110366821
7,spin liquid state,0.7653284668922424
7,spin liquid phase,0.74020916223526
7,spin liquids,0.6927212476730347
7,spin liquid,0.6675176024436951
7,chiral spin liquid,0.6418975591659546
7,state spin,0.579714834690094
8,equilibrium contact,0.5664942264556885
8,surface tension,0.5493338704109192
8,phase contact,0.528725266456604
8,contact angle hysteresis,0.5159607529640198
8,dynamic contact angle,0.509952187538147
8,superhydrophobic surfaces,0.5086901783943176
8,superhydrophobic surface,0.5017314553260803
8,equilibrium contact angle,0.5007317662239075
8,droplet surface,0.4984750747680664
8,contact angles,0.4830107092857361
9,walled carbon nanotubes,0.7545474767684937
9,walled carbon nanotube,0.7290306091308594
9,wall carbon nanotubes,0.7271173000335693
9,carbon nanotubes,0.7269483804702759
9,wall carbon nanotube,0.6929059028625488
9,carbon nanotube,0.6923920512199402
9,multiwalled carbon nanotubes,0.687144935131073
9,carbon nanotubes swcnts,0.6865336894989014
9,carbon nanotubes cnt,0.683789849281311
9,semiconducting carbon nanotubes,0.6803222298622131
10,physics informed neural,0.5003033876419067
10,neural network pinn,0.48449617624282837
10,neural networks pinns,0.47994881868362427
10,neural networks,0.46686863899230957
10,learning techniques,0.45618441700935364
10,computational fluid dynamics,0.45248931646347046
10,computational fluid,0.4363846182823181
10,informed neural networks,0.4356733560562134
10,informed neural network,0.41132330894470215
10,deep learning,0.4077492952346802
11,ferroelectric domain walls,0.7208820581436157
11,ferroelectric domains,0.7048282623291016
11,ferroelectric domain,0.6695374846458435
11,ferroelectric polarization,0.6376066207885742
11,ferroelectric films,0.6148496866226196
11,ferroelectric materials,0.6097263097763062
11,ferroelectric devices,0.6093964576721191
11,ferroelectric state,0.6052737832069397
11,ferroelectric phases,0.6040915846824646
11,ferroelectric transition,0.596448540687561
12,skyrmions magnetic,0.7650289535522461
12,magnetic skyrmions topologically,0.7625352144241333
12,magnetic skyrmions,0.7534553408622742
12,magnetic skyrmion,0.7420210838317871
12,skyrmion lattices,0.6598987579345703
12,skyrmion crystals,0.6570043563842773
12,skyrmions topological,0.6499675512313843
12,skyrmion lattice,0.6473609209060669
12,skyrmions topologically,0.6445804834365845
12,skyrmion hall effect,0.6402451992034912
13,angular momentum light,0.6919058561325073
13,spin orbital angular,0.6034330129623413
13,optical vortex,0.5747960805892944
13,electron vortex beams,0.5629326105117798
13,spin angular,0.5595272183418274
13,spin orbital,0.549713671207428
13,orbital angular momentum,0.5491251945495605
13,orbital angular,0.5439015626907349
13,spin angular momentum,0.5374667048454285
13,orbital angular momenta,0.5291584134101868
14,diamond nitrogen vacancy,0.6858940720558167
14,diamond quantum,0.5661601424217224
14,diamond nitrogen,0.5291706323623657
14,single nitrogen vacancy,0.5217196345329285
14,nitrogen vacancy centers,0.5201106667518616
14,nitrogen vacancy color,0.511682391166687
14,nitrogen vacancy center,0.5109441876411438
14,nitrogen vacancy centres,0.5086942315101624
14,spins diamond,0.5080090761184692
14,nitrogen vacancy centre,0.4964792728424072
15,superconductivity cuprates,0.7023311853408813
15,doped cuprate superconductors,0.6963276863098145
15,superconducting cuprates,0.6831785440444946
15,temperature cuprate superconductors,0.6580396890640259
15,high temperature superconductivity,0.6539908647537231
15,cuprate superconductors,0.6523808240890503
15,high temperature superconductors,0.6247220039367676
15,high superconductivity,0.6131404638290405
15,temperature superconductivity,0.6125352382659912
15,electron doped cuprates,0.6113682985305786
16,glass transition temperature,0.7007666826248169
16,liquid glass transition,0.6912237405776978
16,theory glass transition,0.6892957091331482
16,dynamics glass,0.6720460653305054
16,glassy dynamics,0.670029878616333
16,glass transitions,0.660926103591919
16,dynamics glass forming,0.6446341872215271
16,ideal glass transition,0.6405355930328369
16,glass transition,0.637521505355835
16,glass forming liquids,0.6290702819824219
17,majorana zero modes,0.6981207132339478
17,majorana fermions,0.6610640287399292
17,majorana modes,0.6484525203704834
17,majorana edge modes,0.6100685000419617
17,majorana zero mode,0.6098037958145142
17,majorana zero energy,0.592374324798584
17,zero energy majorana,0.5810430645942688
17,majorana fermion,0.56343674659729
17,topological majorana,0.5610525608062744
17,majorana bound states,0.5474768280982971
18,fractional quantum hall,0.8314902782440186
18,quantum hall states,0.7550244331359863
18,integer quantum hall,0.7476231455802917
18,quantum hall physics,0.7444870471954346
18,quantum hall,0.7387341260910034
18,quantum hall regime,0.7362139225006104
18,quantum hall state,0.7292270660400391
18,quantum hall effects,0.7265697121620178
18,quantum hall fqh,0.7171001434326172
18,quantum hall effect,0.7137989401817322
19,polymer chains,0.5905609130859375
19,polymer dynamics,0.5803711414337158
19,dynamics polymer,0.567960262298584
19,polymer networks,0.5444519519805908
19,polymer chain,0.5431779623031616
19,polymer network,0.5316475629806519
19,linear polymer,0.5070153474807739
19,flexible polymer,0.4955829381942749
19,polymer conformations,0.4941272735595703
19,flexible polymers,0.48990678787231445
20,vortex lattices,0.7314774990081787
20,vortex lattice,0.7243812680244446
20,vortex states,0.6461057662963867
20,vortex interactions,0.6252159476280212
20,superconducting vortex,0.6150594353675842
20,vortex phase,0.6097395420074463
20,vortex dynamics,0.5994154214859009
20,vortex state,0.5954625606536865
20,vortex configurations,0.5887458324432373
20,vortex solid,0.5870169401168823
21,fokker planck equations,0.5492895245552063
21,diffusion equation,0.5449126958847046
21,fokker planck equation,0.5411120057106018
21,diffusion process,0.5246063470840454
21,diffusion processes,0.5215705037117004
21,diffusion coefficients,0.5129525065422058
21,stochastic differential equations,0.5094197392463684
21,normal diffusion,0.4983644485473633
21,diffusion constant,0.4960175156593323
21,langevin equations,0.49263936281204224
22,spin hall conductivity,0.6800048351287842
22,spin orbit couplings,0.6617381572723389
22,spin orbit interactions,0.6613235473632812
22,spin orbit coupling,0.6469674110412598
22,spin orbit interaction,0.6376370191574097
22,orbit coupling spin,0.6163727045059204
22,spin transport,0.6143840551376343
22,spin currents,0.6070210933685303
22,spin dynamics,0.5842342376708984
22,spin orbit coupled,0.5839709043502808
23,perovskite solar cells,0.7656854391098022
23,perovskite solar cell,0.7493478059768677
23,perovskite semiconductors,0.7156401872634888
23,organic inorganic perovskites,0.644686222076416
23,halide perovskite nanocrystals,0.6408705711364746
23,perovskite nanocrystals,0.6373865604400635
23,inorganic halide perovskites,0.6286734342575073
23,inorganic perovskites,0.6207284331321716
